iter	RMSE
0	14.69408647
1	14.29312942
2	13.9153099
3	13.55473846
4	13.18880267
5	12.8582162
6	12.55031423
7	12.28791563
8	12.00817337
9	11.70987748
10	11.42421156
11	11.16634692
12	10.92401237
13	10.67434432
14	10.42842114
15	10.18764452
16	9.965909589
17	9.76098235
18	9.545959848
19	9.346790375
20	9.17729195
21	9.002886457
22	8.822902277
23	8.659419664
24	8.501859825
25	8.369008106
26	8.220919018
27	8.090018293
28	7.986462319
29	7.871606405
30	7.769829437
31	7.664671216
32	7.568207762
33	7.457730765
34	7.351390767
35	7.258160988
36	7.162512156
37	7.089645023
38	7.00250236
39	6.927436531
40	6.857722276
41	6.794646579
42	6.722744007
43	6.666461554
44	6.605819433
45	6.5417042
46	6.483332858
47	6.431613207
48	6.377409147
49	6.332988253
50	6.287710275
51	6.244505795
52	6.198961499
53	6.152442985
54	6.111578261
55	6.076466332
56	6.043117656
57	6.014355994
58	5.981581036
59	5.950453184
60	5.920525962
61	5.888327489
62	5.851522403
63	5.818288738
64	5.793074563
65	5.766840568
66	5.740549741
67	5.715738378
68	5.700434087
69	5.673569044
70	5.65505198
71	5.63322505
72	5.614990994
73	5.595565141
74	5.577426234
75	5.5615325
76	5.545975626
77	5.529999404
78	5.514408581
79	5.500587578
80	5.491501297
81	5.477582306
82	5.465323288
83	5.451906048
84	5.440518649
85	5.429030693
86	5.420350279
87	5.410419579
88	5.397795997
89	5.387338723
90	5.377380283
91	5.367986774
92	5.359150019
93	5.35210747
94	5.342930835
95	5.336542956
96	5.329434996
97	5.321068975
98	5.313630519
99	5.304336427
100	5.29673314
101	5.286652656
102	5.28075871
103	5.268331237
104	5.261376579
105	5.251588961
106	5.243875373
107	5.23784158
108	5.230915602
109	5.226836664
110	5.217959235
111	5.211297329
112	5.203794511
113	5.1960937
114	5.193079801
115	5.188234664
116	5.184736044
117	5.174942635
118	5.170391723
119	5.165559064
120	5.158491025
121	5.153905601
122	5.146021602
123	5.14050639
124	5.137012697
125	5.132497834
126	5.128420786
127	5.124843133
128	5.123682981
129	5.119984021
130	5.113474089
131	5.110837701
132	5.104071704
133	5.100760388
134	5.094902859
135	5.089263082
136	5.08442538
137	5.076648758
138	5.0717485
139	5.068176094
140	5.063210947
141	5.058103033
142	5.057473527
143	5.053599073
144	5.051460742
145	5.049335376
146	5.044899186
147	5.040871881
148	5.038843915
149	5.035022568
150	5.031553587
151	5.028346579
152	5.022460195
153	5.019646832
154	5.017175792
155	5.01084043
156	5.00527134
157	5.002856122
158	5.000987978
159	4.997179991
160	4.99537142
161	4.992585977
162	4.990072098
163	4.987704105
164	4.983261703
165	4.981734323
166	4.977222285
167	4.975629609
168	4.972800143
169	4.966587169
170	4.964506346
171	4.961598642
172	4.956324333
173	4.953717953
174	4.950744521
175	4.945932017
176	4.940310477
177	4.938495319
178	4.935025294
179	4.932137581
180	4.930893103
181	4.928046079
182	4.923980055
183	4.920215399
184	4.9163729
185	4.913850606
186	4.911641618
187	4.906851214
188	4.9043977
189	4.901766688
190	4.898551579
191	4.89591711
192	4.892981406
193	4.889340881
194	4.884294655
195	4.881109475
196	4.875891987
197	4.872611796
198	4.870942429
199	4.86868896
200	4.866592486
201	4.86273717
202	4.858294658
203	4.85609125
204	4.853023323
205	4.849550116
206	4.847116685
207	4.844897342
208	4.842152515
209	4.840278831
210	4.836224837
211	4.831268555
212	4.82873995
213	4.825154321
214	4.822751563
215	4.820130846
216	4.81685666
217	4.812792325
218	4.806381352
219	4.802846156
220	4.799078764
221	4.794571282
222	4.79135183
223	4.789108109
224	4.786806457
225	4.781818735
226	4.777320255
227	4.774658135
228	4.772984257
229	4.770685281
230	4.766381451
231	4.7619627
232	4.757590441
233	4.754017016
234	4.751508309
235	4.747519864
236	4.74406124
237	4.741572132
238	4.739955929
239	4.737381017
240	4.735243783
241	4.729961316
242	4.728094719
243	4.72546455
244	4.720164517
245	4.717896939
246	4.711718007
247	4.706796742
248	4.705113275
249	4.70253383
250	4.700329574
251	4.698375
252	4.69287158
253	4.690253858
254	4.688504138
255	4.684302359
256	4.681423136
257	4.678520405
258	4.675153574
259	4.673534331
260	4.668226566
261	4.662957336
262	4.659632076
263	4.658548058
264	4.657300607
265	4.653129684
266	4.651578926
267	4.64877575
268	4.644161571
269	4.639318398
270	4.637083745
271	4.636051308
272	4.633571395
273	4.627786017
274	4.626034825
275	4.623296842
276	4.622722085
277	4.617665621
278	4.612602172
279	4.610226343
280	4.605175602
281	4.603675354
282	4.601186474
283	4.59918944
284	4.595075336
285	4.590707543
286	4.586090482
287	4.582286771
288	4.578241961
289	4.573321023
290	4.569996988
291	4.568813017
292	4.566645151
293	4.563149584
294	4.561124636
295	4.555273674
296	4.554751179
297	4.551253829
298	4.547635411
299	4.545449083
300	4.543007786
301	4.54009171
302	4.537164153
303	4.535932836
304	4.53229101
305	4.530805681
306	4.528305314
307	4.525160697
308	4.522169873
309	4.521598188
310	4.518629429
311	4.513814459
312	4.508899179
313	4.505550261
314	4.502868291
315	4.500497296
316	4.498956318
317	4.496836582
318	4.494934212
319	4.490105316
320	4.488211587
321	4.487572241
322	4.485632349
323	4.482543444
324	4.479471556
325	4.478939287
326	4.474609317
327	4.473351521
328	4.470335006
329	4.465752469
330	4.462507848
331	4.458623895
332	4.455860754
333	4.451886554
334	4.448866306
335	4.442892813
336	4.439989891
337	4.436004001
338	4.433446002
339	4.428861609
340	4.426962639
341	4.423262079
342	4.420175335
343	4.418230995
344	4.417208274
345	4.416770762
346	4.41562431
347	4.412960869
348	4.410514132
349	4.407860868
350	4.405916453
351	4.403556255
352	4.39973259
353	4.394221036
354	4.390371213
355	4.3869042
356	4.383166954
357	4.380624066
358	4.379155046
359	4.37613096
360	4.37266657
361	4.369399149
362	4.365426011
363	4.362568424
364	4.359472174
365	4.354772305
366	4.352961462
367	4.35156525
368	4.34820118
369	4.342316713
370	4.338351687
371	4.334871827
372	4.330509371
373	4.327436852
374	4.3236448
375	4.319799552
376	4.315258169
377	4.314210164
378	4.309774556
379	4.307587414
380	4.304898562
381	4.30044719
382	4.296930298
383	4.294131959
384	4.293834397
385	4.289500542
386	4.287600718
387	4.283199873
388	4.281273327
389	4.278627726
390	4.277832429
391	4.275786794
392	4.271525618
393	4.268412687
394	4.265797635
395	4.264706495
396	4.263250674
397	4.258853127
398	4.255443933
399	4.254484824
400	4.253977666
401	4.250613908
402	4.248405935
403	4.246021704
404	4.242625674
405	4.240600849
406	4.238625122
407	4.234327215
408	4.23388469
409	4.230615043
410	4.225748343
411	4.222845652
412	4.221542792
413	4.217318258
414	4.216752689
415	4.212460199
416	4.209342281
417	4.208219359
418	4.205063001
419	4.202447469
420	4.200240195
421	4.197806407
422	4.194523147
423	4.192647962
424	4.190226418
425	4.187262576
426	4.183797282
427	4.182960837
428	4.182029989
429	4.178919785
430	4.175758662
431	4.171111961
432	4.170766768
433	4.169806634
434	4.165871168
435	4.16208298
436	4.160503371
437	4.157985501
438	4.156514689
439	4.154470892
440	4.153513619
441	4.150245241
442	4.149446235
443	4.146673277
444	4.143675571
445	4.141472055
446	4.139197043
447	4.135379431
448	4.134931695
449	4.133093344
450	4.132782908
451	4.130061907
452	4.127643819
453	4.122406517
454	4.118419993
455	4.11696796
456	4.113101594
457	4.110071162
458	4.108474995
459	4.106097216
460	4.103198404
461	4.100349398
462	4.096049326
463	4.093927935
464	4.091116466
465	4.086941682
466	4.084718879
467	4.084000332
468	4.080731216
469	4.077568377
470	4.075311059
471	4.074203886
472	4.072392731
473	4.070618724
474	4.066976198
475	4.064639903
476	4.062875666
477	4.059212785
478	4.058645164
479	4.055077959
480	4.050846658
481	4.048892528
482	4.048134483
483	4.046566419
484	4.044999976
485	4.041199744
486	4.040717688
487	4.037753908
488	4.037034102
489	4.034848698
490	4.031193442
491	4.028209896
492	4.026005978
493	4.022772651
494	4.020861455
495	4.016724197
496	4.014925937
497	4.013528027
498	4.0115131
499	4.010064959
500	4.005747647
501	4.003855713
502	4.001010504
503	4.000652267
504	3.998514763
505	3.997199818
506	3.995483567
507	3.994623418
508	3.992584745
509	3.991311224
510	3.990901662
511	3.988697484
512	3.986224242
513	3.982383824
514	3.979330158
515	3.976594633
516	3.97366716
517	3.972714104
518	3.971626475
519	3.967786641
520	3.967313167
521	3.965805248
522	3.965256117
523	3.96305237
524	3.958777012
525	3.955485916
526	3.95469315
527	3.953089092
528	3.952440696
529	3.950389483
530	3.949882228
531	3.94677023
532	3.944443115
533	3.943131378
534	3.941516175
535	3.941084477
536	3.93807281
537	3.935972052
538	3.932440153
539	3.931476171
540	3.931226533
541	3.930985505
542	3.929254114
543	3.927594843
544	3.924276517
545	3.921356402
546	3.91963478
547	3.916134964
548	3.913278021
549	3.910758736
550	3.909623795
551	3.906284885
552	3.904317213
553	3.903849402
554	3.900302356
555	3.897826953
556	3.894766851
557	3.894413773
558	3.893541502
559	3.892719607
560	3.891303017
561	3.889038116
562	3.885244191
563	3.885092073
564	3.883784953
565	3.883571342
566	3.883048647
567	3.879262774
568	3.876065796
569	3.875502931
570	3.872785252
571	3.86945454
572	3.867806784
573	3.86507614
574	3.864717447
575	3.861701277
576	3.859699111
577	3.858522274
578	3.854999166
579	3.854550566
580	3.851897589
581	3.849942137
582	3.84761165
583	3.846896525
584	3.844757966
585	3.843105811
586	3.841874164
587	3.841291779
588	3.838591487
589	3.836191657
590	3.833548595
591	3.833351452
592	3.830735525
593	3.827679285
594	3.824129012
595	3.822258805
596	3.820656054
597	3.817446228
598	3.815595727
599	3.815240891
600	3.812854546
601	3.809441852
602	3.807587157
603	3.806278964
604	3.803176723
605	3.799720858
606	3.7974673
607	3.794929088
608	3.79308037
609	3.791630151
610	3.791139091
611	3.787906513
612	3.78577645
613	3.784661966
614	3.782195814
615	3.780965282
616	3.778093062
617	3.777383303
618	3.7744038
619	3.771863284
620	3.768595215
621	3.766274146
622	3.76451832
623	3.762686655
624	3.760474858
625	3.759648468
626	3.757923981
627	3.755035328
628	3.754710487
629	3.754095187
630	3.751584538
631	3.750476203
632	3.749569617
633	3.748150287
